ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (oz)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: _yoast_wpseo_primary_product_cat","Meta: site-sidebar-layout","Meta: site-content-layout","Meta: theme-transparent-header-meta","Meta: _yoast_wpseo_focuskw","Meta: _yoast_wpseo_linkdex","Meta: _yoast_wpseo_content_score","Meta: _yoast_wpseo_metadesc","Meta: fb_product_group_id","Meta: fb_visibility"
221,simple,,"Lavender Conditioning Pomade",1,0,visible,"<ul>
\n 	<li>Smooths and strengthens hair</li>
\n 	<li>Moisturizes</li>
\n 	<li>Promotes hair growth</li>
\n 	<li>Softens hair</li>
\n 	<li>Shine properties</li>
\n 	<li>Soothes scalp</li>
\n 	<li>Calming Scent</li>
\n</ul>","Style your hair with Beyond Bold's Lavender Conditioning Pomade. It keeps your hair moisturized and full of shine with its beeswax and butter mixture. This natural hair care product leaves your hair and scalp feeling conditioned after you massage the pomade through. The lavender and sweet almond bring a sense of relaxation.
\n
\nHow to Use
\n
\nThe pomade can apply directly to the hair follicle before or after styling. The product can also apply directly to the scalp for your scalp massage treatment.
\n
\n<a href=""https://hairbeyondbold.com/about-us/"">More About Beyond Bold</a>",,,taxable,,1,,,0,0,4,,,,1,,,8.95,"Hair Conditioning Pomade, Natural Hair Care Products",,,"https://hairbeyondbold.com/wp-content/uploads/2019/10/finalL.png, https://hairbeyondbold.com/wp-content/uploads/2019/10/456x578.jpeg.jpg",,,,,,,,,0,23,default,default,default,"Lavender Conditioning Pomade",52,90,"Style your hair with Beyond Bold's Lavender Conditioning Pomade. It keeps your hair moisturized and full of shine with its beeswax and butter mixture",2442890452499705,1
225,simple,,"Cedar Wood Conditioning Pomade",1,0,visible,"<ul>
\n 	<li>Smooth and Straightens hair</li>
\n 	<li>Moisturizes and Conditions</li>
\n 	<li>Doesn't leave a greasy feeling to the hair</li>
\n 	<li>helps prevent frizz</li>
\n 	<li>Aids in hair growth</li>
\n 	<li>Aids in shine</li>
\n 	<li>Aids in scalp health</li>
\n 	<li>Great smell for men</li>
\n</ul>","Style your hair with Beyond Bold's Cedar Wood Conditioning Pomade. It keeps your hair moisturized and full of shine with its beeswax and butter mixture. This natural hair care product leaves your hair and scalp feeling conditioned after you massage the pomade through. The Ceder Wood and Tobacco scent give off a great scent for the men!
\n
\nHow to Use
\n
\nThe pomade can apply directly to the hair follicle before or after styling. The product can also apply directly to the scalp for your scalp massage treatment.
\n
\n<a href=""https://hairbeyondbold.com/about-us/"">More About Beyond Bold</a>",,,taxable,,1,,,0,0,4,,,,1,,,8.95,"Hair Conditioning Pomade, Natural Hair Care Products",,,"https://hairbeyondbold.com/wp-content/uploads/2019/10/1699x1699.png.png, https://hairbeyondbold.com/wp-content/uploads/2019/10/455x411.jpeg.jpg",,,,,,,,,0,23,default,default,default,"Cedar Wood Conditioning Pomade",52,90,"Style your hair with Beyond Bold's Cedar Wood Conditioning Pomade. It keeps your hair moisturized and full of shine with its beeswax and butter mixture.",2602962166484434,1
226,simple,,"Beyond Bold's Original Conditioning Pomade",1,0,visible,"<ul>
\n 	<li>Smooth and straightens hair</li>
\n 	<li>Moisturizes hair</li>
\n 	<li>Penetrates hair shaft</li>
\n 	<li>Strengthen hair shaft</li>
\n 	<li>Helps prevent breakage</li>
\n 	<li>Promotes healthy scalp</li>
\n 	<li>Promotes hair growth</li>
\n</ul>","Style your hair with Beyond Bold’s Original Conditioning Pomade. It keeps your hair moisturized and full of shine with its beeswax and butter mixture. This natural hair care product leaves your hair and scalp feeling conditioned after you massage the pomade through. The added olive oil helps to soften the hair.
\n
\nHow to Use
\n
\nThe pomade can apply directly to the hair follicle before or after styling. The product can also apply directly to the scalp for your scalp massage treatment.
\n
\n<a href=""https://hairbeyondbold.com/about-us/"">More About Beyond Bold</a>",,,taxable,,1,,,0,0,4,,,,1,,,8.95,"Hair Conditioning Pomade, Natural Hair Care Products",,,"https://hairbeyondbold.com/wp-content/uploads/2019/10/Final-O.png, https://hairbeyondbold.com/wp-content/uploads/2019/10/500x333.jpeg.jpg",,,,,,,,,0,23,default,default,default,"Original Conditioning Pomade",52,90,"Style your hair with Beyond Bold’s Original Conditioning Pomade. It keeps your hair moisturized and full of shine with its beeswax and butter mixture.",2704392256289663,1
227,simple,,"Oil Applicator",1,0,visible,"<ul>
\n 	<li>Antibacterial</li>
\n 	<li>Antifungal</li>
\n 	<li>Antiviral</li>
\n 	<li>Anti-inflammatory</li>
\n 	<li>Promotes hair shine</li>
\n 	<li>Promote blood circulation to the scalp</li>
\n 	<li>Promotes hair growth</li>
\n</ul>
\n***Biotin Added***","Moisturize your hair and scalp with Beyond Bold’s Oil Applicator. It keeps your hair silky and full of shine with its natural oil mixture.
\n
\nThis natural hair care product leaves your hair softer and scalp relaxed after you massage it through. The sweet smell brings a meditative calmness to your hair regimen routine.
\n
\nHow to Use
\n
\nApply the oil directly to scalp after parting the hair. Continue this step until you are satisfied with your scalps moisture application.  You may warm up the Oil Applicator in a small copper bowl until it feels nice against your fingertips. Then, use your fingertips to circulate and massage your scalp. ***Do not put the warm oil mixture back into the original mixture. ***Only heat up the amount of oil that you will use
\n
